,model_name,arch_dims,arch_interconnections,dfg_name,test_mode,mapping_is_valid,routing_penalty,unsuccessful_reason,mapping_time,mean_visited_rate,mean_num_visited_nodes,mean_mean_expanded_nodes,mean_max_tree_depths,num_simulations,used_PEs,num_backtrackings
26,smartmap,"(4, 4)",OH_TOR_DIAG,V_11_E_11,ZERO_SHOT,True,-0.1099999991059303,,3.6820573806762695,0.2050535645031013,100.125,5.0799188961449335,4.444444444444445,100,11,0
27,smartmap,"(4, 4)",OH_TOR_DIAG,doitgen,ZERO_SHOT,True,-0.1699999982118606,,4.130658388137817,0.2272633676850668,94.77777777777776,4.771299352157438,7.2,100,16,0
28,smartmap,"(4, 4)",OH_TOR_DIAG,V_7_E_7,ZERO_SHOT,True,-0.0699999991059303,,1.856379508972168,0.1730428633732831,77.0,5.769773529077046,4.2,100,7,0
29,smartmap,"(4, 4)",OH_TOR_DIAG,cholesky_unroll,ZERO_SHOT,True,-0.139999997317791,,1.688938856124878,0.1822842355960821,96.25,5.548297512678097,7.5,100,12,0
30,smartmap,"(4, 4)",OH_TOR_DIAG,V_6_E_5,ZERO_SHOT,True,-0.0599999986588954,,0.6352324485778809,0.1470723201174743,78.5,6.785979490806223,4.0,100,6,0
31,smartmap,"(4, 4)",OH_TOR_DIAG,symm,ZERO_SHOT,True,-0.1699999977648258,,3.2613284587860107,0.2559702961858273,97.0,4.365575019040366,6.625,100,16,0
32,smartmap,"(4, 4)",OH_TOR_DIAG,atax,ZERO_SHOT,True,-0.1399999977648258,,2.463685989379883,0.1953627634195856,89.16666666666667,5.202695269526952,7.0,100,13,0
33,smartmap,"(4, 4)",OH_TOR_DIAG,gemm,ZERO_SHOT,True,-0.1599999977648258,,2.825901508331299,0.2034516606008753,98.14285714285714,5.094539612691428,6.714285714285714,100,15,0
34,smartmap,"(4, 4)",OH_TOR_DIAG,cholesky,ZERO_SHOT,True,-0.0599999988824129,,0.8591492176055908,0.1866987396982042,71.66666666666667,5.574257425742574,4.0,100,6,0
35,smartmap,"(4, 4)",OH_TOR_DIAG,syrk,ZERO_SHOT,True,-0.1499999979883432,,2.8231003284454346,0.2027780379349106,97.14285714285714,5.088707519400588,6.714285714285714,100,14,0
36,smartmap,"(4, 4)",OH_TOR_DIAG,V_5_E_4,ZERO_SHOT,True,-0.0399999991059303,,0.0278620719909667,0.1386138613861386,14.0,7.142857142857143,5.0,100,5,0
